mission,obj_id,star_id,label_raw,period_days,epoch_bjd,dur_hrs,depth_ppm,rp_re,teq_k,st_teff_k,st_logg_cgs,st_rad_rsun,st_mass_msun,label
tess,1145.01,350995812,FP,2.97164,2458685.81643,1.534,7350.0,,2076.0,8562.5,,,,0
tess,1146.01,21755546,FP,0.660179,2459420.415267,1.6349369,473.0939303,6.1672487,5717.1532477,8598.7,4.1,2.62432,,0
tess,1147.01,288391628,FP,10.9278415,2460331.315598,2.468,2743.0,49.1695,1129.0,6259.0,3.59,2.92,,0
tess,1148.01,349827430,KP,5.5514888,2460361.366521,4.335,9493.0,15.8043,1482.0,6403.9,4.16,1.55,,1
tess,1149.01,117789567,APC,2.3202418,2459770.330784,2.3817612,5082.9417064,,3115.3801229,8737.5,,,,0
tess,115.01,281541555,KP,4.7423709,2458329.903155,2.4988145,12650.8110411,10.5505922,970.6340996,5377.0,4.42476,0.877585,,1
tess,1150.01,16740101,KP,1.4810903,2458683.457596,4.1588291,6788.5145388,20.3402421,3446.0210572,9435.0,4.11,2.28773,,1
tess,1151.01,69679391,KP,3.4741012,2460337.986375,3.317,15748.0,21.2912,2084.3330866,8894.8,4.38,1.62,,1
tess,1152.01,237184773,FA,6.5011911,2459392.715052,5.5463587,4501.3454064,,976.5873888,5485.0,,,,0
tess,1153.01,154840461,APC,6.0360758,2460472.256051,1.255,987.0,9.86763,1293.0,6528.3,4.21,1.69,,0
tess,1154.01,459970307,PC,21.745537,2460339.328709,4.196,659.0,2.10208,642.0,5704.0,4.51,0.93,,1
tess,1155.01,161450762,FP,1.32003,2458683.92594,3.175,552.468,,,,,,,0
tess,1156.01,117256577,FP,1.6865822,2459443.850453,2.429,1770.0,,,,,,,0
tess,1157.01,147576037,FP,13.0727479,2459603.765773,3.044,4080.0,35.7944,1074.0,5709.8,3.37,3.59,,0
tess,1158.01,379931600,FP,2.9258727,2459446.175877,4.075,6720.0,24.4055,2066.0,4884.5,,1.3,,0
tess,1159.01,48188920,FP,0.73774,2458683.94707,0.636,524.852,5.28215,,6449.5,3.94,2.1,,0
tess,116.01,238176110,KP,2.7985802,2458326.688916,2.3801043,16708.7151957,11.9514993,1089.1458169,4920.0,4.49371,0.906655,,1
tess,1160.01,89510024,FP,2.3664127,2459446.146751,2.591,300.0,,,,,,,0
tess,1161.01,158324245,KP,1.7635881,2460556.484069,3.092,6650.0,,2608.0,7986.1,,,,1
tess,1162.01,13419950,PC,7.3166682,2460544.815606,3.255,3210.0,,1647.0,8730.0,,,,1
tess,1163.01,375542276,PC,3.0771612,2459441.801256,2.6914319,4703.2844346,,1827.6445751,9311.3,,,,1
tess,1164.01,16102323,FP,3.2077145,2459822.312844,2.708,9640.0,,,,,,,0
tess,1165.01,458478250,KP,2.2552845,2460352.823449,2.05,20820.0,14.688,1348.0,5787.0,4.5,0.96,,1
tess,1166.01,138361973,FP,1.8824539,2460556.103196,2.46,1391.0,8.29008,3091.0,5900.4,4.39,1.13,,0
tess,1167.01,232967666,FP,15.196,2458689.11633,1.792,1970.0,4.96345,,5807.0,,1.14,,0
tess,1168.01,41330864,FP,2.1358631,2460363.632024,1.559,10325.0,23.6019,1745.0,5969.0,4.17,1.5,,0
tess,1169.01,302518439,PC,6.7075429,2460323.760513,2.125,11920.0,17.4647,1079.0,6134.3,,1.24,,1
tess,117.01,322307342,KP,3.5862962,2459063.655791,3.3710943,5729.3246858,16.4747611,1658.3915202,5704.8,3.84,2.00441,,1
