mission,obj_id,star_id,label_raw,period_days,epoch_bjd,dur_hrs,depth_ppm,rp_re,teq_k,st_teff_k,st_logg_cgs,st_rad_rsun,st_mass_msun,label
kepler,K03822.01,8883727,FALSE POSITIVE,2.529073751,2454966.390989,1.8827,1572.9,25.8,1137.0,5465.0,4.598,0.766,0.857,0.0
kepler,K03824.01,6516874,FALSE POSITIVE,0.916326699,2454964.80905,3.1427,96384.0,50.7,1917.0,6046.0,4.486,0.972,1.053,0.0
kepler,K00435.03,11709124,CONFIRMED,33.0405509,2454994.22146,3.3613,577.4,2.36,561.0,5688.0,4.415,0.971,0.895,1.0
kepler,K03898.01,9161118,FALSE POSITIVE,1.306723495,2454965.53576,6.606,12456.6,27.42,1170.0,4651.0,4.612,0.657,0.644,0.0
kepler,K03899.01,3556229,FALSE POSITIVE,0.7967202,2454965.288291,4.25304,167719.0,56.89,1964.0,5780.0,4.438,1.0,1.0,0.0
kepler,K03900.01,11911580,FALSE POSITIVE,359.102042,2455226.8542,16.949,1102.9,28.76,290.0,6355.0,4.41,1.108,1.151,0.0
kepler,K03901.01,9480535,CONFIRMED,160.130899,2455036.47424,13.775,1183.0,6.67,450.0,6092.0,4.056,1.759,1.283,1.0
kepler,K03902.01,10583225,FALSE POSITIVE,2.69634575,2454965.9969,3.785,185.2,1.46,1287.0,5418.0,4.335,1.051,0.871,0.0
kepler,K03903.01,5215251,FALSE POSITIVE,2.553924603,2454964.94769,9.835,1680.1,32.67,1352.0,5993.0,4.489,0.986,1.093,0.0
kepler,K03671.01,10383696,FALSE POSITIVE,8.487871809,2454967.495278,4.19829,118814.0,46.24,798.0,5553.0,4.558,0.855,0.964,0.0
kepler,K03672.01,9777090,FALSE POSITIVE,5.50817321,2454967.32367,3.6845,226850.0,39.18,768.0,5051.0,4.663,0.644,0.696,0.0
kepler,K03673.01,11455484,FALSE POSITIVE,6.142812722,2454968.16085,6.0751,96593.0,31.9,994.0,5780.0,4.438,1.0,1.0,0.0
kepler,K03674.01,2446623,FALSE POSITIVE,175.06586091,2455012.043787,4.5181,45134.0,40.63,312.0,6021.0,4.57,0.819,0.922,0.0
kepler,K03675.01,9596089,FALSE POSITIVE,20.8392148,2454966.49781,2.3321,177508.0,51.9,584.0,5378.0,4.488,0.812,0.741,0.0
kepler,K03676.01,5738506,FALSE POSITIVE,9.50158045,2454964.97492,5.0701,443400.0,73.07,860.0,5780.0,4.438,1.0,1.0,0.0
kepler,K03747.02,9777087,FALSE POSITIVE,19.226055,2454965.6309,2.949,3266.0,3.52,513.0,5193.0,4.689,0.621,0.687,0.0
kepler,K03748.01,4247807,FALSE POSITIVE,2.050435466,2454966.288776,8.0122,7765.3,34.84,1278.0,5440.0,4.496,0.825,0.779,0.0
kepler,K03750.01,7700590,FALSE POSITIVE,1.507101452,2454965.092456,5.2005,15847.0,39.32,1573.0,5884.0,4.453,0.876,0.794,0.0
kepler,K03751.01,9053086,FALSE POSITIVE,1.274841686,2454964.623318,3.5903,50253.0,63.68,2025.0,6211.0,4.247,1.281,1.055,0.0
kepler,K02055.02,3128552,CONFIRMED,4.02582434,2454968.42508,2.8059,265.3,1.79,1169.0,5509.0,4.308,1.116,0.924,1.0
